############# MM SETUP ###############
# remove +5V pull-ups from SPI2, 3.3v compatible SPI
R103,
R105,

# remove jumper resistor connecting BOOT1 with A22 input line, because we use STM32F4
R131,

#WITHOUT CAN WAKEUP (enabled O2S input)
R145, 
############# MM SETUP ###############

# STM32
U105,"STM32F767","LQFP144","C91685"

# being cheap since no code for accelerometer
U106,

#board ID capacitor shortage
C133,"1u","C0603","C519559"

#LS
"U1,U2,U4,U5,U6,U8,U9","BM2LC105FJ","SO-8","C3235499"

#mux
"U270,U275,U280,U285","WAS3157B-6","SOT-363","C213161"

#20k x4
"R7,R16,R76","20k","R0603x4","C102655"

#LEDs
"D601,D104,D108","XL-1608UGC-04","LED0603","C965804"
"D105,D109,D110,D111,D112,D113,D114,D115,D116,D602","0603-blue","LED0603","C497940"

#20MHz crystal
Y102,"TXM20M0002503LFBEO00T","SMD5032-2P","C362485"

#Fuses
F1,"5A","F1206","C553924"

#SD Card
J100,"TF-014-H16","SMD","C125814"

#do not populate second CAN transceiver
U430,
D430,

#main connector
P1,"154","154",C9900079294

#include hellen-one/board_id/generated/board_id_154hyundai-e.csv
#include hellen-one/modules/power_12and5V/unified-replace-power-supply.csv
#include hellen-one/modules/wbo/unified-replace-wbo.csv
#include bom_pullups_hellen154hyundai-e.csv
