Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,144.500000mm,37.000000mm,Top,270.0,144.500000mm,37.000000mm
C1,67.900000mm,14.900000mm,Top,180.0,67.900000mm,14.900000mm
C2,67.500000mm,110.700000mm,Top,90.0,67.500000mm,110.700000mm
C3,91.100000mm,17.899999mm,Top,0.0,91.100000mm,17.899999mm
C4,112.509999mm,16.609999mm,Top,90.0,112.509999mm,16.609999mm
C5,122.009999mm,16.609999mm,Top,90.0,122.009999mm,16.609999mm
C6,56.000000mm,110.800000mm,Top,90.0,56.000000mm,110.800000mm
C7,42.725000mm,103.970000mm,Top,90.0,42.725000mm,103.970000mm
C8,40.725000mm,104.129999mm,Top,90.0,40.725000mm,104.129999mm
C9,97.625000mm,112.050000mm,Top,90.0,97.625000mm,112.050000mm
C10,95.625000mm,112.209999mm,Top,90.0,95.625000mm,112.209999mm
C19,98.000000mm,19.000000mm,Top,0.0,98.000000mm,19.000000mm
D1,28.302882mm,46.867216mm,Top,180.0,28.302882mm,46.867216mm
D2,28.302882mm,38.867216mm,Top,180.0,28.302882mm,38.867216mm
D3,144.000000mm,9.000000mm,Top,180.0,144.000000mm,9.000000mm
D4,42.600000mm,126.000000mm,Top,180.0,42.600000mm,126.000000mm
D5,70.650002mm,93.000000mm,Top,-90.0,70.650002mm,93.000000mm
D6,28.000000mm,88.000000mm,Top,90.0,28.000000mm,88.000000mm
D7,30.000000mm,88.000000mm,Top,90.0,30.000000mm,88.000000mm
D8,32.000000mm,88.000000mm,Top,90.0,32.000000mm,88.000000mm
D9,34.000000mm,88.000000mm,Top,90.0,34.000000mm,88.000000mm
D10,68.650002mm,93.049979mm,Top,90.0,68.650002mm,93.049979mm
D11,28.302882mm,54.867216mm,Top,180.0,28.302882mm,54.867216mm
D12,28.000000mm,84.000000mm,Top,90.0,28.000000mm,84.000000mm
D13,30.000000mm,84.000000mm,Top,90.0,30.000000mm,84.000000mm
D14,32.000000mm,84.000000mm,Top,90.0,32.000000mm,84.000000mm
D15,34.000000mm,84.000000mm,Top,90.0,34.000000mm,84.000000mm
D16,48.000000mm,88.000000mm,Top,90.0,48.000000mm,88.000000mm
D17,50.000000mm,88.000000mm,Top,90.0,50.000000mm,88.000000mm
D18,52.000000mm,88.000000mm,Top,90.0,52.000000mm,88.000000mm
D19,54.000000mm,88.000000mm,Top,90.0,54.000000mm,88.000000mm
D20,48.000000mm,84.000000mm,Top,90.0,48.000000mm,84.000000mm
D21,50.000000mm,84.000000mm,Top,90.0,50.000000mm,84.000000mm
D22,52.000000mm,84.000000mm,Top,90.0,52.000000mm,84.000000mm
D23,54.000000mm,84.000000mm,Top,90.0,54.000000mm,84.000000mm
D24,135.500000mm,23.000000mm,Top,0.0,135.500000mm,23.000000mm
D25,33.150000mm,126.000000mm,Top,0.0,33.150000mm,126.000000mm
D26,58.150002mm,93.000000mm,Top,90.0,58.150002mm,93.000000mm
D27,66.150002mm,93.000000mm,Top,90.0,66.150002mm,93.000000mm
D28,144.000000mm,11.000000mm,Top,180.0,144.000000mm,11.000000mm
D29,143.999999mm,13.000000mm,Top,180.0,143.999999mm,13.000000mm
D30,144.000000mm,15.000000mm,Top,180.0,144.000000mm,15.000000mm
D31,28.400000mm,128.100000mm,Top,180.0,28.400000mm,128.100000mm
D32,33.000000mm,113.000000mm,Top,-90.0,33.000000mm,113.000000mm
D33,38.500000mm,84.000000mm,Top,90.0,38.500000mm,84.000000mm
D34,40.500000mm,84.000000mm,Top,90.0,40.500000mm,84.000000mm
D35,42.500000mm,84.000000mm,Top,90.0,42.500000mm,84.000000mm
D36,38.500000mm,88.000000mm,Top,90.0,38.500000mm,88.000000mm
D37,40.500000mm,88.000000mm,Top,90.0,40.500000mm,88.000000mm
D38,42.500000mm,88.000000mm,Top,90.0,42.500000mm,88.000000mm
D39,62.100000mm,93.000000mm,Top,90.0,62.100000mm,93.000000mm
D40,56.150002mm,93.000000mm,Top,-90.0,56.150002mm,93.000000mm
D41,60.100000mm,93.000000mm,Top,-90.0,60.100000mm,93.000000mm
D42,134.200000mm,57.500000mm,Top,90.0,134.200000mm,57.500000mm
D43,134.200000mm,72.500000mm,Top,90.0,134.200000mm,72.500000mm
D44,64.150002mm,93.000000mm,Top,-90.0,64.150002mm,93.000000mm
D45,134.200000mm,65.000000mm,Top,90.0,134.200000mm,65.000000mm
F1,84.300000mm,121.000000mm,Top,-90.0,84.300000mm,121.000000mm
F2,82.000000mm,121.000000mm,Top,-90.0,82.000000mm,121.000000mm
F3,135.500000mm,88.000000mm,Top,-90.0,135.500000mm,88.000000mm
F4,135.500000mm,100.000000mm,Top,-90.0,135.500000mm,100.000000mm
F5,135.500000mm,112.000000mm,Top,-90.0,135.500000mm,112.000000mm
F6,135.500000mm,124.000000mm,Top,-90.0,135.500000mm,124.000000mm
G1,122.100000mm,43.700000mm,Top,0.0,122.100000mm,43.700000mm
G2,157.500000mm,20.000000mm,Top,0.0,157.500000mm,20.000000mm
G3,122.005350mm,53.107713mm,Top,0.0,122.005350mm,53.107713mm
G4,121.900000mm,74.110000mm,Top,90.0,121.900000mm,74.110000mm
G5,121.900000mm,61.410000mm,Top,90.0,121.900000mm,61.410000mm
G6,121.900000mm,86.810000mm,Top,90.0,121.900000mm,86.810000mm
G7,126.980000mm,86.810001mm,Top,90.0,126.980000mm,86.810001mm
G8,126.980000mm,61.409999mm,Top,90.0,126.980000mm,61.409999mm
G9,126.979999mm,74.110000mm,Top,90.0,126.979999mm,74.110000mm
G10,121.900000mm,99.510000mm,Top,90.0,121.900000mm,99.510000mm
J1,30.500000mm,20.500000mm,Top,-90.0,30.500000mm,20.500000mm
J2,72.200000mm,104.400000mm,Top,0.0,72.200000mm,104.400000mm
J3,71.880000mm,6.500000mm,Top,90.0,71.880000mm,6.500000mm
J25,106.000000mm,15.000000mm,Top,180.0,106.000000mm,15.000000mm
J39,88.725000mm,15.220000mm,Top,0.0,88.725000mm,15.220000mm
J40,44.250000mm,21.577500mm,Top,-90.0,44.250000mm,21.577500mm
M1,111.882447mm,80.579681mm,Top,180.0,111.882447mm,80.579681mm
M2,138.811855mm,5.529889mm,Top,90.0,138.811855mm,5.529889mm
M3,111.987501mm,62.253623mm,Top,180.0,111.987501mm,62.253623mm
M4,67.612501mm,8.309813mm,Top,0.0,67.612501mm,8.309813mm
M5,59.000000mm,69.637499mm,Top,180.0,59.000000mm,69.637499mm
M6,121.762499mm,12.318337mm,Top,180.0,121.762499mm,12.318337mm
M7,63.674997mm,5.975004mm,Top,90.0,63.674997mm,5.975004mm
M8,56.150000mm,100.497339mm,Top,0.0,56.150000mm,100.497339mm
M9,109.787476mm,111.698425mm,Top,-90.0,109.787476mm,111.698425mm
M10,78.616015mm,86.837891mm,Top,180.0,78.616015mm,86.837891mm
M11,114.712501mm,91.112499mm,Top,180.0,114.712501mm,91.112499mm
M13,99.918337mm,5.937501mm,Top,90.0,99.918337mm,5.937501mm
P1,17.912500mm,131.000000mm,Top,0.0,17.912500mm,131.000000mm
P2,74.400000mm,119.100000mm,Top,180.0,74.400000mm,119.100000mm
P3,74.400000mm,114.800000mm,Top,180.0,74.400000mm,114.800000mm
P4,54.000000mm,119.100000mm,Top,180.0,54.000000mm,119.100000mm
P5,51.500000mm,116.100000mm,Top,180.0,51.500000mm,116.100000mm
P6,30.500000mm,119.100000mm,Top,180.0,30.500000mm,119.100000mm
P7,56.500000mm,116.100000mm,Top,180.0,56.500000mm,116.100000mm
P8,54.000000mm,123.500000mm,Top,180.0,54.000000mm,123.500000mm
P9,38.500000mm,119.000000mm,Top,180.0,38.500000mm,119.000000mm
P10,27.600000mm,119.100000mm,Top,180.0,27.600000mm,119.100000mm
P11,64.000000mm,116.100000mm,Top,180.0,64.000000mm,116.100000mm
P12,41.500000mm,119.000000mm,Top,180.0,41.500000mm,119.000000mm
P13,35.500000mm,119.000000mm,Top,180.0,35.500000mm,119.000000mm
P14,79.400000mm,123.505000mm,Top,180.0,79.400000mm,123.505000mm
P15,74.400000mm,123.500000mm,Top,180.0,74.400000mm,123.500000mm
P16,71.500000mm,123.500000mm,Top,180.0,71.500000mm,123.500000mm
P17,103.400000mm,64.000000mm,Top,-90.0,103.400000mm,64.000000mm
P18,41.500000mm,123.500000mm,Top,180.0,41.500000mm,123.500000mm
P19,38.500000mm,123.500000mm,Top,180.0,38.500000mm,123.500000mm
P20,35.500000mm,123.500000mm,Top,180.0,35.500000mm,123.500000mm
P21,30.500000mm,123.500000mm,Top,180.0,30.500000mm,123.500000mm
P22,27.500000mm,123.500000mm,Top,180.0,27.500000mm,123.500000mm
P23,125.500000mm,119.500000mm,Top,180.0,125.500000mm,119.500000mm
P24,119.500000mm,119.500000mm,Top,180.0,119.500000mm,119.500000mm
P25,116.500000mm,124.000000mm,Top,180.0,116.500000mm,124.000000mm
P26,119.500000mm,124.000000mm,Top,180.0,119.500000mm,124.000000mm
P27,113.500000mm,119.500000mm,Top,180.0,113.500000mm,119.500000mm
P28,110.500000mm,119.500000mm,Top,180.0,110.500000mm,119.500000mm
P29,110.500000mm,124.000000mm,Top,180.0,110.500000mm,124.000000mm
P30,107.500000mm,119.500000mm,Top,180.0,107.500000mm,119.500000mm
